;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 19/09/2020 05:10:25 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x0309	0x086A      	MOVF       FARG_LongWordToStr_input+3, 0
0x030A	0x00F3      	MOVWF      R0+3
0x030B	0x2119      	CALL       _Div_32x32_U
0x030C	0x0878      	MOVF       R8, 0
0x030D	0x00F0      	MOVWF      R0
0x030E	0x0879      	MOVF       R8+1, 0
0x030F	0x00F1      	MOVWF      R0+1
0x0310	0x087A      	MOVF       R8+2, 0
0x0311	0x00F2      	MOVWF      R0+2
0x0312	0x087B      	MOVF       R8+3, 0
0x0313	0x00F3      	MOVWF      R0+3
0x0314	0x3030      	MOVLW      48
0x0315	0x07F0      	ADDWF      R0, 1
0x0316	0x1683      	BSF        STATUS, 5
0x0317	0x1703      	BSF        STATUS, 6
0x0318	0x086E      	MOVF       FLOC__LongWordToStr, 0
0x0319	0x0084      	MOVWF      FSR
0x031A	0x0870      	MOVF       R0, 0
0x031B	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,267 :: 		
0x031C	0x300A      	MOVLW      10
0x031D	0x00F4      	MOVWF      R4
0x031E	0x01F5      	CLRF       R4+1
0x031F	0x01F6      	CLRF       R4+2
0x0320	0x01F7      	CLRF       R4+3
0x0321	0x0867      	MOVF       FARG_LongWordToStr_input, 0
0x0322	0x00F0      	MOVWF      R0
0x0323	0x0868      	MOVF       FARG_LongWordToStr_input+1, 0
0x0324	0x00F1      	MOVWF      R0+1
0x0325	0x0869      	MOVF       FARG_LongWordToStr_input+2, 0
0x0326	0x00F2      	MOVWF      R0+2
0x0327	0x086A      	MOVF       FARG_LongWordToStr_input+3, 0
0x0328	0x00F3      	MOVWF      R0+3
0x0329	0x2119      	CALL       _Div_32x32_U
0x032A	0x0870      	MOVF       R0, 0
0x032B	0x1683      	BSF        STATUS, 5
0x032C	0x1703      	BSF        STATUS, 6
0x032D	0x00E7      	MOVWF      FARG_LongWordToStr_input
0x032E	0x0871      	MOVF       R0+1, 0
0x032F	0x00E8      	MOVWF      FARG_LongWordToStr_input+1
0x0330	0x0872      	MOVF       R0+2, 0
0x0331	0x00E9      	MOVWF      FARG_LongWordToStr_input+2
0x0332	0x0873      	MOVF       R0+3, 0
0x0333	0x00EA      	MOVWF      FARG_LongWordToStr_input+3
;__Lib_Conversions.c,268 :: 		
0x0334	0x3000      	MOVLW      0
0x0335	0x00F4      	MOVWF      R4
0x0336	0x0673      	XORWF      R0+3, 0
0x0337	0x1D03      	BTFSS      STATUS, 2
0x0338	0x2B43      	GOTO       L__LongWordToStr395
0x0339	0x0874      	MOVF       R4, 0
0x033A	0x0672      	XORWF      R0+2, 0
0x033B	0x1D03      	BTFSS      STATUS, 2
0x033C	0x2B43      	GOTO       L__LongWordToStr395
0x033D	0x0874      	MOVF       R4, 0
0x033E	0x0671      	XORWF      R0+1, 0
0x033F	0x1D03      	BTFSS      STATUS, 2
0x0340	0x2B43      	GOTO       L__LongWordToStr395
0x0341	0x0870      	MOVF       R0, 0
0x0342	0x3A00      	XORLW      0
L__LongWordToStr395:
0x0343	0x1D03      	BTFSS      STATUS, 2
0x0344	0x2B46      	GOTO       L_LongWordToStr57
;__Lib_Conversions.c,269 :: 		
0x0345	0x2B4B      	GOTO       L_LongWordToStr56
L_LongWordToStr57:
;__Lib_Conversions.c,270 :: 		
0x0346	0x3001      	MOVLW      1
0x0347	0x02EC      	SUBWF      LongWordToStr_len_L0, 1
0x0348	0x1C03      	BTFSS      STATUS, 0
0x0349	0x03ED      	DECF       LongWordToStr_len_L0+1, 1
;__Lib_Conversions.c,271 :: 		
0x034A	0x2AFB      	GOTO       L_LongWordToStr55
L_LongWordToStr56:
;__Lib_Conversions.c,272 :: 		
L_end_LongWordToStr:
0x034B	0x0008      	RETURN
; end of _LongWordToStr
_Mul_8X8_S:
;__Lib_Math.c,253 :: 		
;__Lib_Math.c,261 :: 		
0x034C	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,262 :: 		
0x034D	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,263 :: 		
0x034E	0x0870      	MOVF       R0, 0
;__Lib_Math.c,264 :: 		
0x034F	0x00F1      	MOVWF      R1
;__Lib_Math.c,265 :: 		
0x0350	0x01F0      	CLRF       R0
;__Lib_Math.c,266 :: 		
0x0351	0x01FD      	CLRF       R13
;__Lib_Math.c,267 :: 		
0x0352	0x0871      	MOVF       R1, 0
;__Lib_Math.c,268 :: 		
0x0353	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,269 :: 		
0x0354	0x3400      	RETLW      0
;__Lib_Math.c,271 :: 		
0x0355	0x0674      	XORWF      R4, 0
;__Lib_Math.c,272 :: 		
0x0356	0x00F2      	MOVWF      R2
;__Lib_Math.c,273 :: 		
0x0357	0x1BF2      	BTFSC      R2, 7
;__Lib_Math.c,274 :: 		
0x0358	0x09FD      	COMF       R13, 1
;__Lib_Math.c,276 :: 		
0x0359	0x1FF4      	BTFSS      R4, 7
;__Lib_Math.c,277 :: 		
0x035A	0x2B61      	GOTO       $+7
;__Lib_Math.c,278 :: 		
0x035B	0x09F4      	COMF       R4, 1
;__Lib_Math.c,279 :: 		
0x035C	0x0AF4      	INCF       R4, 1
;__Lib_Math.c,280 :: 		
0x035D	0x09F1      	COMF       R1, 1
;__Lib_Math.c,281 :: 		
0x035E	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,283 :: 		
0x035F	0x1BF4      	BTFSC      R4, 7
;__Lib_Math.c,284 :: 		
0x0360	0x2B77      	GOTO       $+23
;__Lib_Math.c,286 :: 		
0x0361	0x3007      	MOVLW      7
;__Lib_Math.c,287 :: 		
0x0362	0x00FC      	MOVWF      R12
;__Lib_Math.c,288 :: 		
0x0363	0x0871      	MOVF       R1, 0
;__Lib_Math.c,290 :: 		
0x0364	0x0CF4      	RRF        R4, 1
;__Lib_Math.c,291 :: 		
0x0365	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,292 :: 		
0x0366	0x2B6E      	GOTO       $+8
;__Lib_Math.c,293 :: 		
0x0367	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,294 :: 		
0x0368	0x2B64      	GOTO       $-4
;__Lib_Math.c,296 :: 		
0x0369	0x01F1      	CLRF       R1
;__Lib_Math.c,297 :: 		
0x036A	0x3400      	RETLW      0
;__Lib_Math.c,299 :: 		
0x036B	0x0CF4      	RRF        R4, 1
;__Lib_Math.c,300 :: 		
0x036C	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,301 :: 		
0x036D	0x07F1      	ADDWF      R1, 1
;__Lib_Math.c,302 :: 		
0x036E	0x0DFD      	RLF        R13, 1
;__Lib_Math.c,303 :: 		
0x036F	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,304 :: 		
0x0370	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,305 :: 		
0x0371	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,306 :: 		
0x0372	0x2B6B      	GOTO       $-7
;__Lib_Math.c,308 :: 		
0x0373	0x0DFD      	RLF        R13, 1
;__Lib_Math.c,309 :: 		
0x0374	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,310 :: 		
0x0375	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,312 :: 		
0x0376	0x3400      	RETLW      0
;__Lib_Math.c,316 :: 		
0x0377	0x0D7D      	RLF        R13, 0
;__Lib_Math.c,317 :: 		
0x0378	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,318 :: 		
0x0379	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,320 :: 		
0x037A	0x3400      	RETLW      0
;__Lib_Math.c,322 :: 		
L_end_Mul_8X8_S:
0x037B	0x0008      	RETURN
; end of _Mul_8X8_S
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x037C	0x1683      	BSF        STATUS, 5
0x037D	0x1703      	BSF        STATUS, 6
0x037E	0x1045      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x037F	0x0867      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x0380	0x00EF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0381	0x209D      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x0382	0x1683      	BSF        STATUS, 5
0x0383	0x1703      	BSF        STATUS, 6
0x0384	0x1445      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0385	0x0008      	RETURN
; end of _Lcd_Chr_CP
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0386	0x1683      	BSF        STATUS, 5
0x0387	0x1703      	BSF        STATUS, 6
0x0388	0x0854      	MOVF       ___DoICPAddr+1, 0
0x0389	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x038A	0x0853      	MOVF       ___DoICPAddr, 0
0x038B	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x038C	0x0008      	RETURN
; end of _____DoICP
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x038D	0x2B9F      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x038E	0x3080      	MOVLW      128
0x038F	0x1683      	BSF        STATUS, 5
0x0390	0x1703      	BSF        STATUS, 6
0x0391	0x00DA      	MOVWF      FARG_Lcd_Out_row
0x0392	0x2BB2      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0393	0x30C0      	MOVLW      192
0x0394	0x00DA      	MOVWF      FARG_Lcd_Out_row
0x0395	0x2BB2      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0396	0x3094      	MOVLW      148
0x0397	0x00DA      	MOVWF      FARG_Lcd_Out_row
0x0398	0x2BB2      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0399	0x30D4      	MOVLW      212
0x039A	0x00DA      	MOVWF      FARG_Lcd_Out_row
0x039B	0x2BB2      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x039C	0x3080      	MOVLW      128
0x039D	0x00DA      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x039E	0x2BB2      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x039F	0x1683      	BSF        STATUS, 5
0x03A0	0x1703      	BSF        STATUS, 6
0x03A1	0x085A      	MOVF       FARG_Lcd_Out_row, 0
0x03A2	0x3A01      	XORLW      1
0x03A3	0x1903      	BTFSC      STATUS, 2
0x03A4	0x2B8E      	GOTO       L_Lcd_Out13
0x03A5	0x085A      	MOVF       FARG_Lcd_Out_row, 0
0x03A6	0x3A02      	XORLW      2
0x03A7	0x1903      	BTFSC      STATUS, 2
0x03A8	0x2B93      	GOTO       L_Lcd_Out14
0x03A9	0x085A      	MOVF       FARG_Lcd_Out_row, 0
0x03AA	0x3A03      	XORLW      3
0x03AB	0x1903      	BTFSC      STATUS, 2
0x03AC	0x2B96      	GOTO       L_Lcd_Out15
0x03AD	0x085A      	MOVF       FARG_Lcd_Out_row, 0
0x03AE	0x3A04      	XORLW      4
0x03AF	0x1903      	BTFSC      STATUS, 2
0x03B0	0x2B99      	GOTO       L_Lcd_Out16
0x03B1	0x2B9C      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x03B2	0x035B      	DECF       FARG_Lcd_Out_column, 0
0x03B3	0x00F0      	MOVWF      R0
0x03B4	0x085A      	MOVF       FARG_Lcd_Out_row, 0
0x03B5	0x07F0      	ADDWF      R0, 1
0x03B6	0x0870      	MOVF       R0, 0
0x03B7	0x00DA      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x03B8	0x0870      	MOVF       R0, 0
0x03B9	0x00EF      	MOVWF      FARG_Lcd_Cmd_out_char
0x03BA	0x209D      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x03BB	0x1683      	BSF        STATUS, 5
0x03BC	0x1703      	BSF        STATUS, 6
0x03BD	0x1045      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x03BE	0x01DD      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x03BF	0x085D      	MOVF       Lcd_Out_i_L0, 0
0x03C0	0x075C      	ADDWF      FARG_Lcd_Out_text, 0
0x03C1	0x0084      	MOVWF      FSR
0x03C2	0x0800      	MOVF       INDF, 0
0x03C3	0x1903      	BTFSC      STATUS, 2
0x03C4	0x2BCD      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x03C5	0x085D      	MOVF       Lcd_Out_i_L0, 0
0x03C6	0x075C      	ADDWF      FARG_Lcd_Out_text, 0
0x03C7	0x0084      	MOVWF      FSR
0x03C8	0x0800      	MOVF       INDF, 0
0x03C9	0x00E7      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x03CA	0x237C      	CALL       _Lcd_Chr_CP
0x03CB	0x0ADD      	INCF       Lcd_Out_i_L0, 1
0x03CC	0x2BBF      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x03CD	0x1445      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x03CE	0x0008      	RETURN
; end of _Lcd_Out
_Mul_32x32_U:
;__Lib_Math.c,1775 :: 		
;__Lib_Math.c,1790 :: 		
0x03CF	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,1791 :: 		
0x03D0	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,1792 :: 		
0x03D1	0x3022      	MOVLW      34
;__Lib_Math.c,1793 :: 		
0x03D2	0x00FC      	MOVWF      R12
;__Lib_Math.c,1794 :: 		
0x03D3	0x01F8      	CLRF       R8
;__Lib_Math.c,1795 :: 		
0x03D4	0x01F9      	CLRF       R9
;__Lib_Math.c,1796 :: 		
0x03D5	0x01FA      	CLRF       R10
;__Lib_Math.c,1797 :: 		
0x03D6	0x01FB      	CLRF       R11
;__Lib_Math.c,1799 :: 		
_NEXT:
;__Lib_Math.c,1803 :: 		
0x03D7	0x03FC      	DECF       R12, 1
;__Lib_Math.c,1804 :: 		
0x03D8	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,1805 :: 		
0x03D9	0x2C05      	GOTO       _EXIT2
;__Lib_Math.c,1806 :: 		
0x03DA	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,1808 :: 		
_LOOP:
;__Lib_Math.c,1817 :: 		
0x03DB	0x0CFB      	RRF        R11, 1
;__Lib_Math.c,1818 :: 		
0x03DC	0x0CFA      	RRF        R10, 1
;__Lib_Math.c,1819 :: 		
0x03DD	0x0CF9      	RRF        R9, 1
;__Lib_Math.c,1820 :: 		
0x03DE	0x0CF8      	RRF        R8, 1
;__Lib_Math.c,1821 :: 		
0x03DF	0x0CF3      	RRF        R3, 1
;__Lib_Math.c,1822 :: 		
0x03E0	0x0CF2      	RRF        R2, 1
;__Lib_Math.c,1823 :: 		
0x03E1	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,1824 :: 		
0x03E2	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,1829 :: 		
0x03E3	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1830 :: 		
0x03E4	0x2BD7      	GOTO       _NEXT
;__Lib_Math.c,1831 :: 		
0x03E5	0x03FC      	DECF       R12, 1
;__Lib_Math.c,1832 :: 		
0x03E6	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,1833 :: 		
0x03E7	0x2BF7      	GOTO       _EXIT1
;__Lib_Math.c,1840 :: 		
0x03E8	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1841 :: 		
0x03E9	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1842 :: 		
0x03EA	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1843 :: 		
0x03EB	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1844 :: 		
0x03EC	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1845 :: 		
0x03ED	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1846 :: 		
0x03EE	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1847 :: 		
0x03EF	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1848 :: 		
0x03F0	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1849 :: 		
0x03F1	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1850 :: 		
0x03F2	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1851 :: 		
0x03F3	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1852 :: 		
0x03F4	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1853 :: 		
0x03F5	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1855 :: 		
0x03F6	0x2BDB      	GOTO       _LOOP
;__Lib_Math.c,1857 :: 		
_EXIT1:
;__Lib_Math.c,1862 :: 		
0x03F7	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1863 :: 		
0x03F8	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1864 :: 		
0x03F9	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1865 :: 		
0x03FA	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1866 :: 		
0x03FB	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1867 :: 		
0x03FC	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1868 :: 		
0x03FD	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1869 :: 		
0x03FE	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1870 :: 		
0x03FF	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1871 :: 		
0x0400	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1872 :: 		
0x0401	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1873 :: 		
0x0402	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1874 :: 		
0x0403	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1875 :: 		
0x0404	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1878 :: 		
_EXIT2:
;__Lib_Math.c,1880 :: 		
L_end_Mul_32x32_U:
0x0405	0x0008      	RETURN
; end of _Mul_32x32_U
_EEPROM_Read:
;__Lib_EEPROM.c,4 :: 		
;__Lib_EEPROM.c,5 :: 		
0x0406	0x1683      	BSF        STATUS, 5
0x0407	0x1703      	BSF        STATUS, 6
0x0408	0x085A      	MOVF       FARG_EEPROM_Read_Address, 0
0x0409	0x1283      	BCF        STATUS, 5
0x040A	0x008D      	MOVWF      EEADR
;__Lib_EEPROM.c,6 :: 		
0x040B	0x1683      	BSF        STATUS, 5
0x040C	0x138C      	BCF        EECON1, 7
;__Lib_EEPROM.c,12 :: 		
0x040D	0x140C      	BSF        EECON1, 0
;__Lib_EEPROM.c,13 :: 		
0x040E	0x1283      	BCF        STATUS, 5
0x040F	0x080C      	MOVF       EEDATA, 0
0x0410	0x00F0      	MOVWF      R0
;__Lib_EEPROM.c,14 :: 		
L_end_EEPROM_Read:
0x0411	0x0008      	RETURN
; end of _EEPROM_Read
_procesarValor:
;PI.c,83 :: 		void procesarValor(int opc){
;PI.c,84 :: 		espacio = 48+valor;
0x0412	0x1283      	BCF        STATUS, 5
0x0413	0x1703      	BSF        STATUS, 6
0x0414	0x086E      	MOVF       _valor, 0
0x0415	0x3E30      	ADDLW      48
0x0416	0x00F1      	MOVWF      R1
0x0417	0x0871      	MOVF       R1, 0
0x0418	0x1303      	BCF        STATUS, 6
0x0419	0x00B0      	MOVWF      _espacio
;PI.c,85 :: 		if(espacio == 58){//si valor excede el 9, significa que se hará uso del espacio en blanco a la derecha
0x041A	0x0871      	MOVF       R1, 0
0x041B	0x3A3A      	XORLW      58
0x041C	0x1D03      	BTFSS      STATUS, 2
0x041D	0x2C32      	GOTO       L_procesarValor0
;PI.c,87 :: 		valor = 0;
0x041E	0x1703      	BSF        STATUS, 6
0x041F	0x01EE      	CLRF       _valor
0x0420	0x01EF      	CLRF       _valor+1
;PI.c,88 :: 		if(desp==0){//cuando sucede esto por primera vez, la variable decena trae el valor de -16, pero ahora se
0x0421	0x3000      	MOVLW      0
0x0422	0x066D      	XORWF      _desp+1, 0
0x0423	0x1D03      	BTFSS      STATUS, 2
0x0424	0x2C27      	GOTO       L__procesarValor109
0x0425	0x3000      	MOVLW      0
0x0426	0x066C      	XORWF      _desp, 0
L__procesarValor109:
0x0427	0x1D03      	BTFSS      STATUS, 2
0x0428	0x2C30      	GOTO       L_procesarValor1
;PI.c,90 :: 		decena = 0;
0x0429	0x1303      	BCF        STATUS, 6
0x042A	0x01E0      	CLRF       _decena
;PI.c,91 :: 		desp = 1; //desplazamiento se activa, para que más adelante la decena no se vuelva -16
0x042B	0x3001      	MOVLW      1
0x042C	0x1703      	BSF        STATUS, 6
0x042D	0x00EC      	MOVWF      _desp
0x042E	0x3000      	MOVLW      0
0x042F	0x00ED      	MOVWF      _desp+1
;PI.c,92 :: 		}
L_procesarValor1:
;PI.c,93 :: 		decena++;
0x0430	0x1303      	BCF        STATUS, 6
0x0431	0x0AE0      	INCF       _decena, 1
;PI.c,94 :: 		}
L_procesarValor0:
;PI.c,95 :: 		if(espacio == 47){//si se trata de decrementar al valor de 0, este se irá a su límite superior
0x0432	0x0830      	MOVF       _espacio, 0
0x0433	0x3A2F      	XORLW      47
0x0434	0x1D03      	BTFSS      STATUS, 2
0x0435	0x2C4C      	GOTO       L_procesarValor2
;PI.c,96 :: 		valor = 9;
0x0436	0x3009      	MOVLW      9
0x0437	0x1703      	BSF        STATUS, 6
0x0438	0x00EE      	MOVWF      _valor
0x0439	0x3000      	MOVLW      0
0x043A	0x00EF      	MOVWF      _valor+1
;PI.c,97 :: 		if(desp == 1){//cuando desplazamiento esté activado, significa que hay decenas cargadas, por lo tanto
0x043B	0x3000      	MOVLW      0
0x043C	0x066D      	XORWF      _desp+1, 0
0x043D	0x1D03      	BTFSS      STATUS, 2
0x043E	0x2C41      	GOTO       L__procesarValor110
0x043F	0x3001      	MOVLW      1
0x0440	0x066C      	XORWF      _desp, 0
L__procesarValor110:
0x0441	0x1D03      	BTFSS      STATUS, 2
0x0442	0x2C4C      	GOTO       L_procesarValor3
;PI.c,99 :: 		decena--;
0x0443	0x1303      	BCF        STATUS, 6
0x0444	0x03E0      	DECF       _decena, 1
;PI.c,100 :: 		if(decena == 0){//si la decena llega a 0, 'desp'lazamient se vuelve 0, para que adquiera el valor de -16
0x0445	0x0860      	MOVF       _decena, 0
0x0446	0x3A00      	XORLW      0
0x0447	0x1D03      	BTFSS      STATUS, 2
0x0448	0x2C4C      	GOTO       L_procesarValor4
;PI.c,102 :: 		desp = 0;
0x0449	0x1703      	BSF        STATUS, 6
0x044A	0x01EC      	CLRF       _desp
0x044B	0x01ED      	CLRF       _desp+1
;PI.c,103 :: 		}
L_procesarValor4:
;PI.c,104 :: 		}
L_procesarValor3:
;PI.c,105 :: 		}
L_procesarValor2:
;PI.c,106 :: 		switch(opc){
0x044C	0x2CD1      	GOTO       L_procesarValor5
;PI.c,107 :: 		case 1://horas
L_procesarValor7:
0x044D	0x1703      	BSF        STATUS, 6
;PI.c,108 :: 		Lcd_Chr(1,13,decena+48);
0x044E	0x3001      	MOVLW      1
0x044F	0x1683      	BSF        STATUS, 5
0x0450	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x0451	0x300D      	MOVLW      13
0x0452	0x00E8      	MOVWF      FARG_Lcd_Chr_column
0x0453	0x3030      	MOVLW      48
0x0454	0x1283      	BCF        STATUS, 5
0x0455	0x1303      	BCF        STATUS, 6
0x0456	0x0760      	ADDWF      _decena, 0
0x0457	0x1683      	BSF        STATUS, 5
0x0458	0x1703      	BSF        STATUS, 6
0x0459	0x00E9      	MOVWF      FARG_Lcd_Chr_out_char
0x045A	0x2291      	CALL       _Lcd_Chr
;PI.c,109 :: 		Lcd_Chr(1,14,48+valor);
0x045B	0x3001      	MOVLW      1
0x045C	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x045D	0x300E      	MOVLW      14
0x045E	0x00E8      	MOVWF      FARG_Lcd_Chr_column
0x045F	0x1283      	BCF        STATUS, 5
0x0460	0x086E      	MOVF       _valor, 0
0x0461	0x3E30      	ADDLW      48
0x0462	0x1683      	BSF        STATUS, 5
0x0463	0x00E9      	MOVWF      FARG_Lcd_Chr_out_char
0x0464	0x2291      	CALL       _Lcd_Chr
;PI.c,110 :: 		horas = decena*10+valor;
0x0465	0x1283      	BCF        STATUS, 5
0x0466	0x1303      	BCF        STATUS, 6
0x0467	0x0860      	MOVF       _decena, 0
0x0468	0x00F0      	MOVWF      R0
0x0469	0x300A      	MOVLW      10
0x046A	0x00F4      	MOVWF      R4
0x046B	0x234C      	CALL       _Mul_8X8_S
0x046C	0x1703      	BSF        STATUS, 6
0x046D	0x086E      	MOVF       _valor, 0
0x046E	0x0770      	ADDWF      R0, 0
0x046F	0x1303      	BCF        STATUS, 6
0x0470	0x00E2      	MOVWF      _horas
0x0471	0x0871      	MOVF       R0+1, 0
0x0472	0x1803      	BTFSC      STATUS, 0
0x0473	0x3E01      	ADDLW      1
0x0474	0x1703      	BSF        STATUS, 6
0x0475	0x076F      	ADDWF      _valor+1, 0
0x0476	0x1303      	BCF        STATUS, 6
0x0477	0x00E3      	MOVWF      _horas+1
;PI.c,111 :: 		break;
0x0478	0x2CEB      	GOTO       L_procesarValor6
;PI.c,112 :: 		case 2://minutos
L_procesarValor8:
;PI.c,113 :: 		Lcd_Chr(2,5,decena+48);
0x0479	0x3002      	MOVLW      2
0x047A	0x1683      	BSF        STATUS, 5
0x047B	0x1703      	BSF        STATUS, 6
0x047C	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x047D	0x3005      	MOVLW      5
0x047E	0x00E8      	MOVWF      FARG_Lcd_Chr_column
0x047F	0x3030      	MOVLW      48
0x0480	0x1283      	BCF        STATUS, 5
0x0481	0x1303      	BCF        STATUS, 6
0x0482	0x0760      	ADDWF      _decena, 0
0x0483	0x1683      	BSF        STATUS, 5
0x0484	0x1703      	BSF        STATUS, 6
0x0485	0x00E9      	MOVWF      FARG_Lcd_Chr_out_char
0x0486	0x2291      	CALL       _Lcd_Chr
;PI.c,114 :: 		Lcd_Chr(2,6,48+valor);
0x0487	0x3002      	MOVLW      2
0x0488	0x00E7      	MOVWF      FARG_Lcd_Chr_row
0x0489	0x3006      	MOVLW      6
0x048A	0x00E8      	MOVWF      FARG_Lcd_Chr_column
0x048B	0x1283      	BCF        STATUS, 5
0x048C	0x086E      	MOVF       _valor, 0
0x048D	0x3E30      	ADDLW      48
0x048E	0x1683      	BSF        STATUS, 5
0x048F	0x00E9      	MOVWF      FARG_Lcd_Chr_out_char
0x0490	0x2291      	CALL       _Lcd_Chr
;PI.c,115 :: 		minutos = decena*10+valor;
0x0491	0x1283      	BCF        STATUS, 5
0x0492	0x1303      	BCF        STATUS, 6
0x0493	0x0860      	MOVF       _decena, 0
0x0494	0x00F0      	MOVWF      R0
0x0495	0x300A      	MOVLW      10
